"ts1","ts2","nbins","rho","pvalue","method"
"RegBB","Abies",103,-0.30378245398234,0.00189046113555629,"Spearman's rank correlation rho"
"RegBB","Cupressaceae",103,0.38843737644423,5.74713868986068e-05,"Spearman's rank correlation rho"
"RegBB","Larix",103,-0.517792030927382,3.46275302098523e-08,"Spearman's rank correlation rho"
"RegBB","Picea",103,-0.566467513069455,4.52835481790052e-10,"Spearman's rank correlation rho"
"RegBB","Pinus",103,-0.250252602908228,0.0109590305138999,"Spearman's rank correlation rho"
"RegBB","Alnus",103,0.207112419276897,0.0359753027727971,"Spearman's rank correlation rho"
"RegBB","Betula",103,0.100667750296534,0.311112055423158,"Spearman's rank correlation rho"
"RegBB","Populus",103,0.343111628519967,0.00041871916969786,"Spearman's rank correlation rho"
"RegBB","Quercus",103,0.454278873610684,1.89051080165275e-06,"Spearman's rank correlation rho"
"RegBB","Salix",103,-0.39210560998111,4.83358181442952e-05,"Spearman's rank correlation rho"
"RegBB","Ulmus",103,-0.0156943285155735,0.874795343214428,"Spearman's rank correlation rho"
"RegBB","Ambrosia",103,0.178634187057945,0.0710824256242481,"Spearman's rank correlation rho"
"RegBB","Artemisia",103,-0.00388788823968721,0.968897528426078,"Spearman's rank correlation rho"
"RegBB","Asteraceae",103,0.312711417651452,0.00136520649373881,"Spearman's rank correlation rho"
"RegBB","Chenopodium",103,0.0431621491016123,0.664597331129821,"Spearman's rank correlation rho"
"RegBB","Cyperaceae",103,0.0615362649914335,0.536314819875959,"Spearman's rank correlation rho"
"RegBB","Poaceae",103,0.688046391073233,0,"Spearman's rank correlation rho"
"RegBB","Aquatics",103,0.104346966568554,0.293689020665327,"Spearman's rank correlation rho"
"RegFRI","Abies",103,0.33251328910952,0.000640590980139369,"Spearman's rank correlation rho"
"RegFRI","Cupressaceae",103,-0.161863550498616,0.102325410623823,"Spearman's rank correlation rho"
"RegFRI","Larix",103,0.24724333347977,0.0119826144836899,"Spearman's rank correlation rho"
"RegFRI","Picea",103,0.378893379607257,8.93688070216761e-05,"Spearman's rank correlation rho"
"RegFRI","Pinus",103,0.3973004437025,3.77018962122076e-05,"Spearman's rank correlation rho"
"RegFRI","Alnus",103,-0.252712735579669,0.0101801142767426,"Spearman's rank correlation rho"
"RegFRI","Betula",103,-0.233954223959935,0.0175696094140357,"Spearman's rank correlation rho"
"RegFRI","Populus",103,-0.233855379343672,0.0176184567198834,"Spearman's rank correlation rho"
"RegFRI","Quercus",103,-0.459462724596934,1.40329442358646e-06,"Spearman's rank correlation rho"
"RegFRI","Salix",103,0.221796336159557,0.0245322261838263,"Spearman's rank correlation rho"
"RegFRI","Ulmus",103,-0.105522119228573,0.288263142603141,"Spearman's rank correlation rho"
"RegFRI","Ambrosia",103,0.0538593331283223,0.588404063088468,"Spearman's rank correlation rho"
"RegFRI","Artemisia",103,0.0988446162632342,0.319990345629888,"Spearman's rank correlation rho"
"RegFRI","Asteraceae",103,-0.189770680490269,0.054982840201116,"Spearman's rank correlation rho"
"RegFRI","Chenopodium",103,0.160941000746826,0.104316477732649,"Spearman's rank correlation rho"
"RegFRI","Cyperaceae",103,0.118986952510653,0.230861617426714,"Spearman's rank correlation rho"
"RegFRI","Poaceae",103,-0.584556077845627,0,"Spearman's rank correlation rho"
"RegFRI","Aquatics",103,-0.162335808109652,0.101317807580351,"Spearman's rank correlation rho"
"RegFS","Abies",103,-0.15159469314238,0.126242980093055,"Spearman's rank correlation rho"
